Item Number,Item Name,Item Description,Size,Regular Price,UPC,Department Name,Qty 1,On Order Qty
889,BRUSH SET,,,3200,,BEAUTY SUPPLIES,-6,0
898,BABY BLISS NANO,,,6000,0074108143624,BEAUTY SUPPLIES,-2,0
906,WIG CURLY 12,,,16000,,BEAUTY SUPPLIES,-13,0
910,REMINGTON FLAT IRON 1 3/4,,,7000,0074590507942,BEAUTY SUPPLIES,1,0
911,CALVIN SET,,,2800,,KIDS,-4,0
921,KIDS TOY,,,3500,,KIDS,-43,0
934,WATCH,,,0,,KIDS,-7,0
938,KIDS LEGGINGS SET,,,2800,,KIDS,-15,0
942,KIDS SNEAKERS,,,3500,,KIDS,-16,0
943,GOLD SKIN ARGAN,,,600,6181100324891,BEAUTY SUPPLIES,5,0
944,GOLD SKIN SNAIL SLIME,,,600,6181100324884,BEAUTY SUPPLIES,3,0
956,TOY,,,2800,,KIDS,-20,0
957,KISS FLAT IRON,,,4500,0731509590630,BEAUTY SUPPLIES,-1,0
976,beans,,,0,,BEAUTY SUPPLIES,-19,0
890,IASO ORIGINAL DETOX TEA,,25,6500,,TOTAL LIFE CHANGER,-32,0
899,CLAW CLIP,,,200,,BEAUTY SUPPLIES,-14,0
907,HANDBAG,,,5600,,System,-13,0
912,TIGHTES,,,4000,,KIDS,-2,0
922,SWEET CLIP,,,0,,BEAUTY SUPPLIES,-3,0
935,ORIGINAL/NUTRA/NRG COMBO,,,0,,TOTAL LIFE CHANGER,0,0
939,ALLEVIATE,,,8500,,TOTAL LIFE CHANGER,1,0
945,BIOCARROT SOAP,,,650,6181100380415,BEAUTY SUPPLIES,-9,0
958,TWEEZER #6026,,,420,0705372060262,BEAUTY SUPPLIES,-3,0
977,LOCS,,,1700,,BEAUTY SUPPLIES,-20,0
978,"XX13  CURLY CLOSURE BOB 8""",,,15000,,BUNDLES,0,0
1014,MAYBELLINE MASCARA PUMPED UP,,,1700,0041554409291,BEAUTY SUPPLIES,-3,0
1041,AFRO KINKY BULK #2,,,1400,0828179030716,BEAUTY SUPPLIES,-1,0
891,IASO LEMON CBD TEA,,25,10500,,TOTAL LIFE CHANGER,-4,0
900,MANE CHOICE TWISTING GEL,,,2400,0850093005730,BEAUTY SUPPLIES,2,0
908,SINGLE RASP,,,600,,TOTAL LIFE CHANGER,0,0
913,TIGHT SET BLACK,,,3000,,KIDS,-1,0
923,BATH AND BODY WORKS,,,1800,,BEAUTY SUPPLIES,-221,0
936,SMALL NUTRA,,,3000,,TOTAL LIFE CHANGER,1,0
940,REJUV SPRAY,,,10500,,TOTAL LIFE CHANGER,1,0
946,BIOCARROT OIL,,,900,6181100322828,BEAUTY SUPPLIES,5,0
959,TWEEZER #6024,,,360,0705372060248,BEAUTY SUPPLIES,-7,0
979,"CLOSURE WIG STR 12""",,,13000,,BUNDLES,-1,0
995,HOOP EARRINGS,,,1000,,BEAUTY SUPPLIES,-24,0
1015,MAYBELLINE MASCARA THE ROCKET,,,1700,0041554288452,BEAUTY SUPPLIES,-4,0
1042,AFRO KINKY BULK #1B,,,1400,0828179968811,BEAUTY SUPPLIES,-8,0
892,RESOLUTION DROPS,,,10500,,TOTAL LIFE CHANGER,-2,0
901,BABY BOUNCER,,,0,,KIDS,-1,0
909,SINGLE LEMON,,,600,,TOTAL LIFE CHANGER,0,0
914,jump suit,,,2200,,KIDS,-3,0
924,blonde 24,,,10000,,BUNDLES,-1,0
937,wash rag,,,2000,,KIDS,-2,0
941,IASO BREW TEA 5 PACK,,,7500,,TOTAL LIFE CHANGER,2,0
947,tops,,,1000,,KIDS,-5,0
960,MAGNETIC ROLLERS PURPLE,,,300,0705372012193,BEAUTY SUPPLIES,2,0
980,CLOSURE WIG STR 14,,,15000,,BUNDLES,0,0
996,KIDS DRESS,,,3900,,KIDS,-60,0
1016,MAYBEL TWIN BROW PENCIL DARK BR,,,900,0041554530254,BEAUTY SUPPLIES,5,0
1043,LA GIRL MATTE EYELINER PEN,,,600,0081555656010,BEAUTY SUPPLIES,2,0
1047,STAINLESS SILVER NECKLACE,,,1400,,BEAUTY SUPPLIES,-8,0
1074,ORS GIRLS SHAMPOO,,,895,0632169191529,BEAUTY SUPPLIES,0,0
893,NRG,,,10500,,TOTAL LIFE CHANGER,-15,0
902,NRG 2 PACK,,,1000,,TOTAL LIFE CHANGER,50,0
915,boy set,,,2500,,KIDS,-6,0
925,SHORTS,,,1800,,KIDS,-34,0
948,ECO 8OZ KRYSTAL,,,400,0748378001136,BEAUTY SUPPLIES,13,0
961,SNAP ON MAGNETIC ROLLERS,,,270,0705372012223,BEAUTY SUPPLIES,4,0
981,"CLOSURE WIG STR 16""",,,17000,,BUNDLES,0,0
997,BLACK CASTOR OIL,,,2000,0764302215837,BEAUTY SUPPLIES,1,0
1017,MAYBEL TWIN BROW PENCIL MED BR,,,900,0041554530667,BEAUTY SUPPLIES,2,0
1044,"GHANA BRAID PRESTRETCHED 60"" 1B",,,1300,0828179157093,BEAUTY SUPPLIES,-3,0
1048,STAINLESS GOLD NECKLACE,,,1400,,BEAUTY SUPPLIES,-35,0
1075,CANTU HAIR LOTION,,,1570,0817513010019,BEAUTY SUPPLIES,0,0
1090,bold hold,,,300,0705372088419,BEAUTY SUPPLIES,-1,0
1117,"W/SALE BUNDLE 28""",,,9500,,BUNDLES,-21,0
894,NUTRABURST,,,4500,,TOTAL LIFE CHANGER,3,0
903,RASPBERRY CBD TEA,,,10500,,TOTAL LIFE CHANGER,3,0
916,KIDS TOP,,,1500,,KIDS,-90,0
926,TRIAL NUTRABURST,,3.6 OZ,4500,,TOTAL LIFE CHANGER,16,0
949,RK JELLY LIPPIES,,,300,,BEAUTY SUPPLIES,-639,0
962,BLUE SNAP ON ROLLERS,,,270,0705372012247,BEAUTY SUPPLIES,6,0
982,"CLOSURE WIG STR 18""",,,20000,,BUNDLES,-1,0
998,SET,,,2700,,KIDS,-20,0
1018,MAYBELLINE MASCARA FALSIES,,,1700,0041554217988,BEAUTY SUPPLIES,0,0
1045,"GHANA TWIST 18"" #1",,,2400,0828179172768,BEAUTY SUPPLIES,-2,0
